Relative_cell_proliferation,Androgens,Enzalutamide,Time,Replicates
1.216949153,epiT,2uM,48h,B2
1.240677966,epiT,2uM,48h,B2
1.257627119,epiT,2uM,48h,B2
1.277966102,epiT,2uM,48h,B2
1.33220339,epiT,2uM,48h,B2
1.210169492,T,2uM,48h,B2
1.227118644,T,2uM,48h,B2
1.298305085,T,2uM,48h,B2
1.338983051,T,2uM,48h,B2
1.369491525,T,2uM,48h,B2
1.284745763,T,2uM,48h,B2
1.033898305,AD,2uM,48h,B2
1.122033898,AD,2uM,48h,B2
1.125423729,AD,2uM,48h,B2
1.027118644,AD,2uM,48h,B2
1.122033898,AD,2uM,48h,B2
1.013559322,AD,2uM,48h,B2
0.835326087,VC,0uM,96h,B2
0.942934783,VC,0uM,96h,B2
1.053804348,VC,0uM,96h,B2
1.004891304,VC,0uM,96h,B2
1.086413043,VC,0uM,96h,B2
1.076630435,VC,0uM,96h,B2
2.446195652,epiT,0uM,96h,B2
2.371195652,epiT,0uM,96h,B2
2.45923913,epiT,0uM,96h,B2
2.367934783,epiT,0uM,96h,B2
2.641847826,epiT,0uM,96h,B2
2.857065217,epiT,0uM,96h,B2
1.435326087,T,0uM,96h,B2
1.419021739,T,0uM,96h,B2
1.575543478,T,0uM,96h,B2
1.48423913,T,0uM,96h,B2
1.474456522,T,0uM,96h,B2
1.48423913,T,0uM,96h,B2
1.099456522,AD,0uM,96h,B2
1.066847826,AD,0uM,96h,B2
1.132065217,AD,0uM,96h,B2
1.014673913,AD,0uM,96h,B2
1.079891304,AD,0uM,96h,B2
1.19076087,AD,0uM,96h,B2
1.148369565,VC,2uM,96h,B2
1.200543478,VC,2uM,96h,B2
1.229891304,VC,2uM,96h,B2
1.207065217,VC,2uM,96h,B2
1.233152174,VC,2uM,96h,B2
1.252717391,VC,2uM,96h,B2
1.33423913,epiT,2uM,96h,B2
1.311413043,epiT,2uM,96h,B2
1.314673913,epiT,2uM,96h,B2
1.40923913,epiT,2uM,96h,B2
1.389673913,epiT,2uM,96h,B2
1.363586957,epiT,2uM,96h,B2
1.076630435,T,2uM,96h,B2
1.220108696,T,2uM,96h,B2
1.200543478,T,2uM,96h,B2
1.213586957,T,2uM,96h,B2
1.25923913,T,2uM,96h,B2
1.288586957,T,2uM,96h,B2
1.017934783,AD,2uM,96h,B2
1.008152174,AD,2uM,96h,B2
0.991847826,AD,2uM,96h,B2
1.079891304,AD,2uM,96h,B2
1.050543478,AD,2uM,96h,B2
1.027717391,AD,2uM,96h,B2
0.978609626,VC,0uM,24h,B3
0.985026738,VC,0uM,24h,B3
1.039572193,VC,0uM,24h,B3
1.010695187,VC,0uM,24h,B3
1.023529412,VC,0uM,24h,B3
0.962566845,VC,0uM,24h,B3
1.318716578,epiT,0uM,24h,B3
1.488770053,epiT,0uM,24h,B3
1.517647059,epiT,0uM,24h,B3
1.501604278,epiT,0uM,24h,B3
1.421390374,epiT,0uM,24h,B3
1.398930481,epiT,0uM,24h,B3
1.347593583,T,0uM,24h,B3
1.305882353,T,0uM,24h,B3
1.341176471,T,0uM,24h,B3
1.312299465,T,0uM,24h,B3
1.379679144,T,0uM,24h,B3
1.235294118,T,0uM,24h,B3
1.042780749,AD,0uM,24h,B3
1.029946524,AD,0uM,24h,B3
1.132620321,AD,0uM,24h,B3
1.049197861,AD,0uM,24h,B3
0.994652406,AD,0uM,24h,B3
0.872727273,AD,0uM,24h,B3
0.965775401,VC,2uM,24h,B3
1.007486631,VC,2uM,24h,B3
1.045989305,VC,2uM,24h,B3
1.004278075,VC,2uM,24h,B3
0.988235294,VC,2uM,24h,B3
0.97540107,VC,2uM,24h,B3
1.094117647,epiT,2uM,24h,B3
1.023529412,epiT,2uM,24h,B3
1.049197861,epiT,2uM,24h,B3
1.084491979,epiT,2uM,24h,B3
1.007486631,epiT,2uM,24h,B3
1.052406417,epiT,2uM,24h,B3
1.058823529,T,2uM,24h,B3
1.087700535,T,2uM,24h,B3
0.994652406,T,2uM,24h,B3
0.994652406,T,2uM,24h,B3
1.049197861,T,2uM,24h,B3
0.972192513,T,2uM,24h,B3
0.997860963,AD,2uM,24h,B3
1.004278075,AD,2uM,24h,B3
1.007486631,AD,2uM,24h,B3
0.97540107,AD,2uM,24h,B3
0.930481283,AD,2uM,24h,B3
0.885561497,AD,2uM,24h,B3
1.086153846,VC,0uM,48h,B3
1.2,VC,0uM,48h,B3
1.147692308,VC,0uM,48h,B3
0.969230769,VC,0uM,48h,B3
0.873846154,VC,0uM,48h,B3
0.723076923,VC,0uM,48h,B3
1.572307692,epiT,0uM,48h,B3
1.686153846,epiT,0uM,48h,B3
1.772307692,epiT,0uM,48h,B3
1.793846154,epiT,0uM,48h,B3
1.775384615,epiT,0uM,48h,B3
1.636923077,epiT,0uM,48h,B3
1.550769231,T,0uM,48h,B3
1.698461538,T,0uM,48h,B3
1.756923077,T,0uM,48h,B3
1.738461538,T,0uM,48h,B3
1.689230769,T,0uM,48h,B3
1.698461538,T,0uM,48h,B3
0.969230769,AD,0uM,48h,B3
1.230769231,AD,0uM,48h,B3
1.310769231,AD,0uM,48h,B3
1.304615385,AD,0uM,48h,B3
1.36,AD,0uM,48h,B3
1.123076923,AD,0uM,48h,B3
1.095384615,VC,2uM,48h,B3
1.132307692,VC,2uM,48h,B3
1.153846154,VC,2uM,48h,B3
1.107692308,VC,2uM,48h,B3
1.113846154,VC,2uM,48h,B3
0.975384615,VC,2uM,48h,B3
1.138461538,epiT,2uM,48h,B3
1.166153846,epiT,2uM,48h,B3
1.252307692,epiT,2uM,48h,B3
1.138461538,epiT,2uM,48h,B3
1.224615385,epiT,2uM,48h,B3
1.243076923,epiT,2uM,48h,B3
1.298461538,T,2uM,48h,B3
1.461538462,T,2uM,48h,B3
1.486153846,T,2uM,48h,B3
1.412307692,T,2uM,48h,B3
1.261538462,T,2uM,48h,B3
1.187692308,T,2uM,48h,B3
1.015384615,AD,2uM,48h,B3
1.027692308,AD,2uM,48h,B3
1.073846154,AD,2uM,48h,B3
1.126153846,AD,2uM,48h,B3
1.024615385,AD,2uM,48h,B3
1.003076923,AD,2uM,48h,B3
0.911847277,VC,0uM,96h,B3
0.969118473,VC,0uM,96h,B3
0.962380685,VC,0uM,96h,B3
1.073554183,VC,0uM,96h,B3
1.03649635,VC,0uM,96h,B3
1.046603032,VC,0uM,96h,B3
2.124649072,epiT,0uM,96h,B3
2.171813587,epiT,0uM,96h,B3
2.08759124,epiT,0uM,96h,B3
2.242560358,epiT,0uM,96h,B3
2.353733856,epiT,0uM,96h,B3
2.218978101,epiT,0uM,96h,B3
1.279056709,T,0uM,96h,B3
1.363279056,T,0uM,96h,B3
1.437394722,T,0uM,96h,B3
1.396967995,T,0uM,96h,B3
1.309376754,T,0uM,96h,B3
1.349803481,T,0uM,96h,B3
0.969118473,AD,0uM,96h,B3
0.975856261,AD,0uM,96h,B3
1.039865244,AD,0uM,96h,B3
1.026389669,AD,0uM,96h,B3
1.117349803,AD,0uM,96h,B3
1.107243122,AD,0uM,96h,B3
0.874789444,VC,2uM,96h,B3
0.975856261,VC,2uM,96h,B3
0.979225154,VC,2uM,96h,B3
1.056709714,VC,2uM,96h,B3
1.070185289,VC,2uM,96h,B3
0.999438518,VC,2uM,96h,B3
1.110612016,epiT,2uM,96h,B3
1.107243122,epiT,2uM,96h,B3
1.120718697,epiT,2uM,96h,B3
1.188096575,epiT,2uM,96h,B3
1.093767546,epiT,2uM,96h,B3
1.002807412,epiT,2uM,96h,B3
1.076923077,T,2uM,96h,B3
1.076923077,T,2uM,96h,B3
1.113980909,T,2uM,96h,B3
1.113980909,T,2uM,96h,B3
1.151038742,T,2uM,96h,B3
1.113980909,T,2uM,96h,B3
0.935429534,AD,2uM,96h,B3
0.99270073,AD,2uM,96h,B3
0.979225154,AD,2uM,96h,B3
1.026389669,AD,2uM,96h,B3
1.006176305,AD,2uM,96h,B3
0.965749579,AD,2uM,96h,B3
